SMILES,Hf(298K),S(298.15),C300,C400,C500,C600,C800,C1000,C1500
Cc1cccc2c1c(O)ccc2,-11.67,92.47,43.09,56,66.52,74.89,87.09,95.54,108.06
O=C1C=Cc2c(C1=C)cccc2,21.65,94.22,38.68,50.72,60.79,68.87,80.63,88.64,100.18
[CH3],35.03,46.51,9.41,10.15,10.89,11.59,12.92,14.11,16.31
C[CH2],28.68,59.17,12.26,14.79,17.21,19.37,22.95,25.75,30.28
CC[CH2],23.98,67.91,17.41,21.59,25.42,28.72,34.05,38.12,44.57
CC(C)[CH2],12.42,76.23,21.72,26.7,31.74,36.3,43.82,49.55,58.45
CC([CH2])C,17.55,76.06,23.08,28.98,34.23,38.66,45.63,50.85,59.02
CCC[CH2],19.31,78.82,22.86,28.62,33.84,38.3,45.37,50.68,58.99
C[CH]CC,16.14,80.42,21.8,27.22,32.4,36.93,44.34,49.91,58.61
C[C](C)C,12.14,85.08,28.73,36.18,42.85,48.48,57.23,63.7,73.69
CC(C)([CH2])C,8.21,87.02,26.85,33.47,39.93,45.65,54.91,61.88,72.7
CCC([CH2])C,12.92,87.18,28.25,35.76,42.46,48.09,56.89,63.4,73.46
CCCC[CH2],14.37,86.81,28.71,35.91,42.43,47.98,56.74,63.26,73.44
C[CH]C(C)C,9.96,86.97,27.71,34.78,41.34,46.99,55.93,62.67,73.09
C[CH]CCC,11.3,89.41,27.16,34.38,41.05,46.79,55.89,62.68,73.15
[CH2]CC(C)(C)C,4.57,88.65,33.98,43.32,51.62,58.57,69.21,76.87,88.54
CC[CH]CCC,6.5,99.31,32.53,41.44,49.49,56.4,67.24,75.26,87.61
CCC([CH2])(C)C,6,89.68,34.69,43.71,51.74,58.48,68.93,76.57,88.3
C[C](C(C)C)C,2.22,93.63,32.58,40.83,48.59,55.39,66.21,74.41,87.11
C[CH]C(C)(C)C,2.75,90.65,33.19,42.16,50.3,57.2,67.92,75.78,87.94
C[CH]CCCC,6.31,98.53,33.07,41.78,49.78,56.62,67.4,75.39,87.71
CC(C(C)C)[CH2],7.26,93.67,34.49,43.29,51.11,57.75,68.09,75.81,87.81
CCCCC[CH2],9.52,97.66,34.39,43.03,50.94,57.66,68.19,75.97,87.94
[CH2]CC(C(C)C)C,2.34,100.72,41.19,51.71,60.93,68.64,80.56,89.33,102.86
CC([CH]C(C)C)C,-0.98,101.86,39.14,49.6,58.99,66.87,79.17,88.24,102.11
CC[CH]CCCC,2.26,109.53,39.35,49.53,58.86,66.75,79.07,88.2,102.22
CCC(C(C)C)[CH2],2.41,101.14,40.12,50.81,60.38,68.37,80.62,89.5,103.04
CCC[CH]CCC,2.03,108.99,38.39,48.88,58.48,66.65,79.22,88.32,102.42
C[C](CC(C)C)C,-4.15,100.45,38.25,48.61,58.1,66.17,78.77,88,102.12
C[CH]C(C(C)C)C,-0.44,101.57,39.83,49.84,59.07,66.95,79.32,88.43,102.39
C[CH]CCCCC,1.91,109.07,38.73,48.9,58.34,66.36,78.97,88.15,102.21
CC(CC(C)C)[CH2],1.58,100.87,41.84,52.44,61.54,69.06,80.78,89.45,102.8
CC[C](C(C)C)C,-1.98,103.99,38.3,48.26,57.54,65.55,78.09,87.39,101.66
CCC([C](C)C)C,-2.87,101.28,38.71,48.67,57.99,66.04,78.7,88.01,102.2
CCC(C(C)[CH2])C,2.64,99.66,41.36,52.57,61.97,69.57,81.17,89.7,103.02
CCCCCC[CH2],4.66,107.29,40.07,50.19,59.55,67.44,79.78,88.8,102.62
[CH2]C(C(C)C)C(C)C,-3.83,100.94,45.87,59.64,71.83,81.66,95.73,105.26,119.33
C[C](C(C)C)C(C)C,-8.23,104.95,43.91,56.47,67.87,77.4,91.79,102.04,117.3
C[C](CC(C)(C)C)C,-11.56,104.36,43.47,55.69,66.99,76.61,91.44,102.01,117.67
CC([C](C)C)C(C)C,-8.79,106.76,44.39,55.96,66.76,76.04,90.57,101.17,117.17
CC([CH]C(C)(C)C)C,-8.36,104.36,45.65,58.18,69.39,78.72,92.78,102.77,117.72
CC(C([CH2])C)C(C)C,-3.05,103.24,46.96,60.5,72.01,81.18,94.52,103.92,118.32
CC(CC([CH2])(C)C)C,-4.3,102.88,47.98,60.41,71.28,80.32,94.1,103.94,118.71
CC(CC(C)(C)C)[CH2],-4.47,104.37,46.18,58.58,69.61,78.84,92.93,103.13,118.17
CO[O],2.96,64.48,12.03,14.13,16.21,18.04,20.95,23.09,26.36
CCO[O],-5.56,74.08,17.7,21.45,24.89,27.81,32.35,35.67,40.76
[O]OC(C)C,-14.73,81.05,24.07,29.27,33.85,37.71,43.73,48.19,55.06
CCCO[O],-10.23,83.57,23.34,28.69,33.55,37.64,43.9,48.43,55.3
CCCCO[O],-15.04,93.17,29.3,35.98,42.1,47.26,55.2,60.97,69.71
[O]OC(C)(C)C,-24.51,84.7,30.55,37.46,43.32,48.15,55.6,61.09,69.63
[O]OCC(C)C,-16.96,89.97,29.67,36.33,42.44,47.57,55.44,61.13,69.77
CC(O[O])CC,-19.42,91.6,29.74,36.48,42.46,47.47,55.21,60.88,69.61
CC(CC)CO[O],-21.18,100.87,35.71,43.54,50.8,56.98,66.58,73.56,84.19
CCCCCO[O],-19.89,102.75,35.11,43.2,50.7,57.03,66.76,73.75,84.32
[O]OC(C(C)C)C,-25.12,97.39,36.67,44.58,51.65,57.56,66.84,73.64,84.11
[O]OCC(C)(C)C,-24.8,93.66,34.14,43.15,51.09,57.63,67.44,74.37,84.67
[O]OCCC(C)C,-21.5,99.62,35.37,43.61,51.02,57.25,66.85,73.73,84.27
